BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
1,ALPHABET CITY            ,22  STORE BUILDINGS                         ,4,374,34, ,K1, 55-57 AVENUE D                            ,            ,10009,0,2,2,3294,3280,1950, 4 , K1 ,2450000,11/15/2011
1,ALPHABET CITY            ,22  STORE BUILDINGS                         ,4,407,23, ,K1, 530 EAST 14TH   STREET                    ,            ,10009,0,2,2,5163,5000,1965, 4 , K1 ,6600000,12/21/2011
1,ALPHABET CITY            ,28  COMMERCIAL CONDOS                       ,4,384,1402, ,R5, 229 EAST 2ND   STREET                     ,            ,10009,0,1,1,0,0,2008, 4 , R5 ,0,3/15/2011
1,ALPHABET CITY            ,28  COMMERCIAL CONDOS                       ,4,384,1403, ,R5, 229 EAST 2ND   STREET                     ,            ,10009,0,1,1,0,0,2008, 4 , R5 ,0,1/20/2011
1,ALPHABET CITY            ,28  COMMERCIAL CONDOS                       ,4,396,1001, ,R5, 215 AVENUE B                              ,1001,10009,0,1,1,0,0,2008, 4 , R5 ,952981,1/31/2011
1,ALPHABET CITY            ,29  COMMERCIAL GARAGES                      ,4,372,32, ,G7, 318 EAST 3RD   STREET                     ,            ,10009,0,0,0,4058,0,0, 4 , G7 ,0,9/8/2011
1,ALPHABET CITY            ,29  COMMERCIAL GARAGES                      ,4,374,32, ,G7, 748 EAST 5TH STREET                       ,            ,10009,0,0,0,2116,0,0, 4 , G7 ,450000,11/15/2011
1,ALPHABET CITY            ,31  COMMERCIAL VACANT LAND                  ,4,372,41, ,V1, 9 AVENUE D                                ,            ,10009,0,1,1,27292,0,1996, 4 , V1 ,21000000,12/22/2011
1,ALPHABET CITY            ,31  COMMERCIAL VACANT LAND                  ,4,372,42, ,V1, 7 AVENUE D                                ,            ,10009,0,1,1,2155,0,1996, 4 , V1 ,0,12/22/2011
1,ALPHABET CITY            ,31  COMMERCIAL VACANT LAND                  ,4,372,43, ,V1, 5 AVENUE D                                ,            ,10009,0,0,0,2241,0,0, 4 , V1 ,0,12/22/2011
