,neighborhood,last_income,avg_pct_change,pct_change_3yr,comparison_3yr,pct_change_5yr,comparison_5yr
160,QUEENS-UNKNOWN,48.592378623991,0.0322,0.0426,0.0104,0.0381,0.0059
161,RED HOOK,89.21673705069782,0.0639,0.073,0.0091,0.0733,0.0094
162,REGO PARK,53.63330585245007,0.0234,0.036,0.0126,0.0289,0.0055
163,RICHMOND HILL,45.95433554668438,0.0189,0.0282,0.0093,0.024,0.0051
164,RIDGEWOOD,57.30588673504441,0.0264,0.0382,0.0118,0.0328,0.0064
165,RIVERDALE,67.87348087957183,0.0239,0.019,-0.0049,0.0292,0.0053
166,ROCKAWAY PARK,79.1409119493462,0.0235,0.0164,-0.0071,0.0236,0.0001
167,ROOSEVELT ISLAND,95.98286384976525,0.0444,0.0487,0.0043,0.0453,0.0009
168,ROSEDALE,56.951094615206195,0.022,0.0279,0.0059,0.0232,0.0012
169,SCHUYLERVILLE/PELHAM BAY,45.614138363613826,0.0196,0.0253,0.0057,0.0221,0.0025
170,SEAGATE,40.50533596837945,0.025,0.0315,0.0065,0.0223,-0.0027
171,SHEEPSHEAD BAY,58.1408709107605,0.0307,0.042,0.0113,0.0357,0.005
172,SO. JAMAICA-BAISLEY PARK,46.04004594169174,0.0168,0.0234,0.0066,0.021,0.0042
173,SOHO,317.54937215851015,0.0559,0.026,-0.0299,0.0544,-0.0015
174,SOUNDVIEW,31.894804737741673,0.0165,0.0283,0.0118,0.019,0.0025
175,SOUTH JAMAICA,43.95284611409723,0.0184,0.0233,0.0049,0.0232,0.0048
176,SOUTH OZONE PARK,44.96707394441735,0.0094,0.0158,0.0064,0.0186,0.0092
177,SOUTHBRIDGE,130.10016542597188,0.0709,0.0395,-0.0314,0.0539,-0.017
178,SPRING CREEK,34.54514131381643,0.0223,0.0331,0.0108,0.0223,0.0
179,SPRINGFIELD GARDENS,44.127596353805444,0.0162,0.0246,0.0084,0.0207,0.0045
180,ST. ALBANS,47.37775763957399,0.0192,0.0256,0.0064,0.0223,0.0031
181,SUNNYSIDE,64.99262681147927,0.0382,0.0516,0.0134,0.0488,0.0106
182,SUNSET PARK,63.13805352915067,0.0406,0.0483,0.0077,0.0466,0.006
183,THROGS NECK,40.10424120628735,0.0201,0.0243,0.0042,0.0211,0.001
184,TRIBECA,407.0625463884833,0.0325,0.0604,0.0279,0.0715,0.039
185,UPPER BAY,330.6282258064516,-0.0518,-0.0063,0.0455,0.0293,0.0811
186,UPPER EAST SIDE (59-79),327.338084419622,0.0452,0.0082,-0.037,0.0484,0.0032
187,UPPER EAST SIDE (79-96),273.2525932976517,0.0455,0.0055,-0.04,0.0438,-0.0017
188,UPPER EAST SIDE (96-110),277.52483448095944,0.0468,0.0012,-0.0456,0.0318,-0.015
189,UPPER WEST SIDE (59-79),301.6000741650219,0.032,-0.0135,-0.0455,0.0371,0.0051
190,UPPER WEST SIDE (79-96),282.8267669338436,0.0165,0.0107,-0.0058,0.0455,0.029
191,UPPER WEST SIDE (96-116),190.41958014126422,0.077,0.0187,-0.0583,0.0474,-0.0296
192,VAN CORTLANDT PARK,92.3981049711536,0.0249,0.0157,-0.0092,0.034,0.0091
193,WAKEFIELD,39.53376119858469,0.0177,0.0285,0.0108,0.0201,0.0024
194,WASHINGTON HEIGHTS LOWER,73.39193980695796,0.0385,0.0338,-0.0047,0.0332,-0.0053
195,WASHINGTON HEIGHTS UPPER,160.49815709476746,0.0505,0.0354,-0.0151,0.047,-0.0035
196,WESTCHESTER,64.99410057616765,0.0228,0.0218,-0.001,0.0295,0.0067
197,WHITESTONE,57.544843556488146,0.0229,0.0256,0.0027,0.0245,0.0016
198,WILLIAMSBRIDGE,37.31999665174135,0.0168,0.0252,0.0084,0.0192,0.0024
199,WILLIAMSBURG-CENTRAL,59.495053736221315,0.0604,0.0802,0.0198,0.0764,0.016
200,WILLIAMSBURG-EAST,50.87270140256723,0.0513,0.073,0.0217,0.0669,0.0156
201,WILLIAMSBURG-NORTH,84.53050106018519,0.0684,0.0768,0.0084,0.0791,0.0107
202,WILLIAMSBURG-SOUTH,81.57940250210095,0.0655,0.0795,0.014,0.0788,0.0133
203,WINDSOR TERRACE,80.3516647238797,0.0427,0.0547,0.012,0.0516,0.0089
204,WOODHAVEN,41.517216606789496,0.0213,0.0364,0.0151,0.0276,0.0063
205,WOODLAWN,50.41566579634465,0.0206,0.0256,0.005,0.0219,0.0013
206,WOODSIDE,54.65698718266234,0.0294,0.0432,0.0138,0.0385,0.0091
207,WYCKOFF HEIGHTS,38.17944356145453,0.036,0.0645,0.0285,0.0527,0.0167
