Year,Neighborhood,Average_Income
2014,RICHMOND HILL,44.02672271992766
2014,RIDGEWOOD,53.281619615792074
2014,RIVERDALE,69.61332587449358
2014,ROCKAWAY PARK,77.74131565651528
2014,ROOSEVELT ISLAND,87.94065420560747
2014,ROSEDALE,54.3924298957638
2014,SCHUYLERVILLE/PELHAM BAY,43.80013532572137
2014,SEAGATE,38.631313645621184
2014,SHEEPSHEAD BAY,54.03829677518728
2014,SO. JAMAICA-BAISLEY PARK,44.029222442901656
2014,SOHO,328.61709704413425
2014,SOUNDVIEW,30.065766464927737
2014,SOUTH JAMAICA,42.24799849953592
2014,SOUTH OZONE PARK,43.91561539146343
2014,SOUTHBRIDGE,121.83007275666937
2014,SPRING CREEK,32.36302853018659
2014,SPRINGFIELD GARDENS,41.97202987193905
2014,ST. ALBANS,45.55514195100662
2014,SUNNYSIDE,59.475804280648404
2014,SUNSET PARK,59.03068838394671
2014,THROGS NECK,38.10268801318815
2014,TRIBECA,384.3557061672125
2014,UPPER BAY,364.33740157480315
2014,UPPER EAST SIDE (59-79),355.52867225073743
2014,UPPER EAST SIDE (79-96),297.14993293589015
2014,UPPER EAST SIDE (96-110),299.9049328200483
2014,UPPER WEST SIDE (59-79),349.9373056117217
2014,UPPER WEST SIDE (79-96),306.0366134373358
2014,UPPER WEST SIDE (96-116),193.14710218758907
2014,VAN CORTLANDT PARK,97.7991394671115
2014,WAKEFIELD,37.337290633749156
2014,WASHINGTON HEIGHTS LOWER,74.6722341987084
2014,WASHINGTON HEIGHTS UPPER,162.60200472451405
2014,WESTCHESTER,66.37548552412866
2014,WHITESTONE,55.83927333762173
2014,WILLIAMSBRIDGE,35.52163034760198
2014,WILLIAMSBURG-CENTRAL,51.7564637876301
2014,WILLIAMSBURG-EAST,44.59350061157324
2014,WILLIAMSBURG-NORTH,77.63913196236923
2014,WILLIAMSBURG-SOUTH,72.69094792967554
2014,WINDSOR TERRACE,73.7515757583347
2014,WOODHAVEN,38.70437675496129
2014,WOODLAWN,47.65795148247978
2014,WOODSIDE,50.85073809888437
2014,WYCKOFF HEIGHTS,33.78633654808419
2015,1021,248.0547433903577
2015,1026,299.20173038229376
2015,3004,42.59533563672261
2015,3019,85.183575677462
2015,AIRPORT JFK,46.82621900599572
2015,AIRPORT LA GUARDIA,44.703007518796994
2015,ALPHABET CITY,200.65558763195816
2015,ARVERNE,43.074009431665125
2015,ASTORIA,68.0369470407828
2015,BATH BEACH,61.69400762220388
2015,BATHGATE,27.210525698779495
2015,BAY RIDGE,72.07635009054344
2015,BAYCHESTER,37.308330093996005
2015,BAYSIDE,60.00030423129851
2015,BEDFORD PARK/NORWOOD,37.38020807333199
2015,BEDFORD STUYVESANT,52.31779831827294
2015,BEECHHURST,63.41845245334715
2015,BELLE HARBOR,62.434862194349954
2015,BELLEROSE,60.990058080093135
2015,BELMONT,33.60552767386005
2015,BENSONHURST,52.98217710725315
2015,BERGEN BEACH,58.504403107349994
2015,BOERUM HILL,122.91030561518936
2015,BOROUGH PARK,54.05031400267725
2015,BREEZY POINT,102.2156862745098
2015,BRIARWOOD,49.166482415451924
2015,BRIGHTON BEACH,58.488917895244185
2015,BROAD CHANNEL,49.15122807017544
2015,BRONX PARK,32.54970541169777
2015,BRONX-UNKNOWN,30.09590600813404
2015,BRONXDALE,41.95073969154313
2015,BROOKLYN HEIGHTS,106.30037412508739
2015,BROOKLYN-UNKNOWN,65.84559704850344
2015,BROWNSVILLE,48.90210049193966
2015,BUSH TERMINAL,49.920222343286845
2015,BUSHWICK,60.25085103095684
2015,CAMBRIA HEIGHTS,42.68385467249875
2015,CANARSIE,44.55428335674479
2015,CARROLL GARDENS,115.29985733892039
2015,CASTLE HILL/UNIONPORT,33.44611851945938
2015,CHELSEA,324.0512799213406
2015,CHINATOWN,249.6058562608768
2015,CITY ISLAND,58.056458534752444
2015,CITY ISLAND-PELHAM STRIP,159.18065172167542
2015,CIVIC CENTER,324.3356786654763
2015,CLINTON,349.57888147940554
2015,CLINTON HILL,70.24503369918085
2015,CO-OP CITY,47.01103752759382
2015,COBBLE HILL,165.23565176043752
2015,COBBLE HILL-WEST,127.18731971805576
2015,COLLEGE POINT,57.505216756205165
2015,CONEY ISLAND,48.87811647149179
2015,CORONA,56.84148256407943
2015,COUNTRY CLUB,55.52933853346349
2015,CROTONA PARK,29.93447727600286
2015,CROWN HEIGHTS,59.092097155223755
2015,CYPRESS HILLS,76.820893091897
2015,DOUGLASTON,77.47012366495221
2015,DOWNTOWN-FULTON FERRY,194.23355987055015
2015,DOWNTOWN-FULTON MALL,158.93504033505897
2015,DOWNTOWN-METROTECH,131.45642741475976
2015,DYKER HEIGHTS,54.90573362570823
2015,EAST ELMHURST,53.06767116127157
2015,EAST NEW YORK,49.54665116189735
2015,EAST RIVER,52.33073803931736
2015,EAST TREMONT,26.673262390152736
2015,EAST VILLAGE,235.71694051422415
2015,ELMHURST,49.712421082540914
2015,FAR ROCKAWAY,43.074009431665125
2015,FASHION,263.62003350691634
2015,FIELDSTON,73.41293777001562
2015,FINANCIAL,296.1816191840986
2015,FLATBUSH-CENTRAL,61.5352744727513
2015,FLATBUSH-EAST,51.486245946299114
2015,FLATBUSH-LEFFERTS GARDEN,44.31931644570983
2015,FLATBUSH-NORTH,42.627092456753026
2015,FLATIRON,339.12969748858137
2015,FLATLANDS,46.90982112640349
2015,FLORAL PARK,74.17080685784867
2015,FLUSHING MEADOW PARK,60.53428230088617
2015,FLUSHING-NORTH,59.82051786385525
2015,FLUSHING-SOUTH,60.35014259326901
2015,FORDHAM,27.003411485272302
2015,FOREST HILLS,53.472758567389924
2015,FORT GREENE,90.8647566222956
2015,FRESH MEADOWS,62.83243250965342
2015,GERRITSEN BEACH,58.50962720178623
2015,GLEN OAKS,84.96526051217577
2015,GLENDALE,55.859337420529656
2015,GOWANUS,89.74809402720535
2015,GRAMERCY,321.6561880796993
2015,GRAVESEND,52.778269355224985
2015,GREENPOINT,48.872889305102085
2015,GREENWICH VILLAGE-CENTRAL,323.8839536019917
2015,GREENWICH VILLAGE-WEST,290.2332041883014
2015,HAMMELS,62.434862194349954
2015,HARLEM-CENTRAL,122.88182430852912
2015,HARLEM-EAST,131.82365442646264
2015,HARLEM-UPPER,93.92117209116962
2015,HARLEM-WEST,51.312276242312976
2015,HIGHBRIDGE/MORRIS HEIGHTS,28.667160900131556
2015,HILLCREST,55.16903275130247
2015,HOLLIS,47.58781684227363
2015,HOLLIS HILLS,55.372382317054246
2015,HOLLISWOOD,49.03287104514448
2015,HOWARD BEACH,53.21054352242985
2015,HUNTS POINT,31.428544742725954
2015,INWOOD,221.59558527122226
2015,JACKSON HEIGHTS,51.24055447507565
2015,JAMAICA,39.067779378617104
2015,JAMAICA BAY,48.27513229181319
2015,JAMAICA ESTATES,54.53986961716604
2015,JAMAICA HILLS,43.59032147988531
2015,JAVITS CENTER,301.1693006136625
2015,KENSINGTON,68.06365752535788
2015,KEW GARDENS,50.72764737412915
2015,KINGSBRIDGE HTS/UNIV HTS,32.436921272587796
2015,KINGSBRIDGE/JEROME PARK,52.65123331080385
2015,KIPS BAY,184.4107265679473
2015,LAURELTON,44.48385033039809
2015,LITTLE ITALY,301.00160035497805
