,PCT,Crime,Year,Nbr of Crimes,variable,Neighborhood
345,5.0,BURGLARY                              ,2002,212.0,1,Chinatown
346,5.0,GRAND LARCENY                         ,2002,687.0,0,Lower East Side
347,5.0,GRAND LARCENY                         ,2002,687.0,1,Chinatown
348,5.0,GRAND LARCENY OF MOTOR VEHICLE                                  ,2002,94.0,0,Lower East Side
349,5.0,GRAND LARCENY OF MOTOR VEHICLE                                  ,2002,94.0,1,Chinatown
350,5.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2002,1309.0,0,Lower East Side
351,5.0,TOTAL SEVEN MAJOR FELONY OFFENSES,2002,1309.0,1,Chinatown
352,5.0,MURDER & NON NEGL. MANSLAUGHTER                                ,2003,3.0,0,Lower East Side
353,5.0,MURDER & NON NEGL. MANSLAUGHTER                                ,2003,3.0,1,Chinatown
354,5.0,RAPE                                  ,2003,7.0,0,Lower East Side
355,5.0,RAPE                                  ,2003,7.0,1,Chinatown
356,5.0,ROBBERY                               ,2003,148.0,0,Lower East Side
357,5.0,ROBBERY                               ,2003,148.0,1,Chinatown
358,5.0,FELONY ASSAULT                        ,2003,100.0,0,Lower East Side
359,5.0,FELONY ASSAULT                        ,2003,100.0,1,Chinatown
360,5.0,BURGLARY                              ,2003,215.0,0,Lower East Side
