neighborhood,crime_rank,income_rank,avg_sales_rank,cum_development_rank,eq_weight_score,weights_by_completeness,weights_by_reliability
FLATBUSH-EAST,29.0,74.0,151.0,100.0,0.4296,0.3705,3.6805
HARLEM-EAST,98.0,166.0,158.0,146.0,0.6893,0.5892,4.0233
EASTNEWYORK,2.0,67.0,162.0,137.0,0.4466,0.3898,3.9513
SPRINGCREEK,2.0,15.0,63.0,39.0,0.1444,0.1265,1.511
EASTTREMONT,59.5,1.0,66.0,102.0,0.2773,0.2605,1.6703
WILLIAMSBURG-EAST,53.5,65.0,160.0,147.0,0.5164,0.4574,3.9454
MASPETH,53.5,86.0,135.0,109.0,0.4654,0.4032,3.3479
NAVYYARD,53.5,113.0,29.0,80.0,0.3343,0.2821,0.8982
WILLIAMSBURG-CENTRAL,53.5,106.0,50.0,66.0,0.3343,0.2807,1.3604
WILLIAMSBURG-NORTH,53.5,150.0,174.0,138.0,0.6256,0.5314,4.341
WILLIAMSBURG-SOUTH,53.5,149.0,146.0,108.0,0.554,0.4655,3.6616
ELMHURST,46.5,62.0,169.0,156.0,0.5261,0.467,4.1556
EASTELMHURST,46.5,83.0,87.0,57.0,0.3319,0.2805,2.1771
FLATBUSH-CENTRAL,82.0,122.0,164.0,130.0,0.6044,0.521,4.0917
FLATBUSH-NORTH,82.0,38.0,103.0,88.0,0.3774,0.3379,2.5578
FLATLANDS,167.0,55.0,43.0,38.0,0.3677,0.3277,1.1877
BERGENBEACH,167.0,107.0,54.0,18.0,0.4199,0.3579,1.47
